Date,NetIncome
31-12-2022,$241
30-09-2022,$294
30-06-2022,$307
31-03-2022,$284
31-12-2021,$260
30-09-2021,$288
30-06-2021,$341
31-03-2021,$298
31-12-2020,$225
30-09-2020,$264
30-06-2020,$241
31-03-2020,$203
31-12-2019,$203
30-09-2019,$150
30-06-2019,$174
31-03-2019,$247
31-12-2018,-$44
30-09-2018,$163
30-06-2018,$162
31-03-2018,$177
31-12-2017,$245
30-09-2017,$170
30-06-2017,$146
31-03-2017,$168
31-12-2016,-$227
30-09-2016,$131
30-06-2016,$70
31-03-2016,$132
31-12-2015,$148
30-09-2015,$138
30-06-2015,$133
31-03-2015,$9
31-12-2014,$87
30-09-2014,$123
30-06-2014,$101
31-03-2014,$103
31-12-2013,$142
30-09-2013,$113
30-06-2013,$88
31-03-2013,$42
31-12-2012,$85
30-09-2012,$89
30-06-2012,$93
31-03-2012,$85
31-12-2011,$81
30-09-2011,$110
30-06-2011,$92
31-03-2011,$104
31-12-2010,$136
30-09-2010,$101
30-06-2010,$96
31-03-2010,$61
31-12-2009,$43
30-09-2009,$60
30-06-2009,$69
31-03-2009,$94
